755.2184793,-137.1133478,0.496666667,2.57,926.438654,931.536083,493.6869144,566.249741,1061.024996
756.9153761,-136.217469,0.46,3.083333333,923.6138065,931.0065036,494.5444709,567.7096209,1061.459743
756.5689704,-135.830765,0.36,3.576666667,922.7754528,931.784858,495.2535261,569.0584654,1062.0693
757.1422154,-135.5814555,0.326666667,3.99,922.7263039,931.2234888,494.3782987,569.4405313,1061.81108
758.928524,-134.7061975,0.193333333,3.933333333,922.4341892,929.8381774,494.0927882,569.9328124,1061.378679
758.6651394,-134.6570499,-0.153333333,3.696666667,924.1709832,929.0136896,493.878119,570.7442435,1061.274591
758.7665233,-134.1946139,-0.296666667,2.936666667,928.5107651,931.2264992,494.8050419,572.4891438,1061.912166
758.1260819,-134.5282695,-0.313333333,2.296666667,931.7309593,932.84789,494.7577158,573.9685725,1062.298451
758.9538129,-134.5177073,-0.276666667,2.003333333,931.7489287,932.5482887,495.2535261,575.669113,1061.934164
760.3897969,-133.8786888,-0.043333333,1.733333333,930.655923,931.304737,495.9809727,577.4862056,1061.738462
761.8349373,-133.3096435,0.173333333,1.683333333,932.0389877,932.5066889,496.5637928,579.1589831,1062.638769
763.8439063,-132.9430289,0.223333333,2.4,933.8205743,934.7025121,497.4662634,580.934297,1063.974211
765.1500512,-132.0176614,0.14,2.456666667,932.9781292,933.6973023,498.1092047,582.9631657,1064.222136
766.1856439,-131.7273264,-0.126666667,2.606666667,932.9810872,933.6738047,498.7707789,585.0476854,1064.977258
766.9775324,-131.3320501,-0.27,2.846666667,933.0668315,933.9378351,498.6797871,586.5806837,1065.667879
766.8654562,-130.7524811,-0.126666667,2.923333333,933.8528347,935.143476,499.2245002,588.6011435,1066.521196
768.2897107,-130.6000106,-0.016666667,2.966666667,933.4503015,934.7984131,500.2603122,590.7992354,1067.245315
769.5985341,-130.4570866,-0.013333333,2.963333333,932.5869017,934.3500862,501.1745788,592.9234471,1068.288888
771.3159142,-130.0684275,0.19,3.33,932.2805589,935.0594947,502.2124594,594.9339621,1069.607275
772.0683498,-129.3709721,0.33,3.453333333,932.7589932,935.6862025,503.1526653,596.8878048,1070.840715
774.5478881,-129.2168892,0.386666667,3.463333333,933.3000385,935.740889,503.8034268,598.5446475,1071.829912
775.3580627,-128.6503212,0.266666667,3.49,933.3000385,935.4585006,504.4929361,600.2157177,1072.970769
776.5314596,-128.2054351,0.273333333,3.456666667,934.6763413,937.3280879,506.1117148,602.4415647,1074.553594
776.8110379,-127.6325192,0.643333333,3.576666667,936.19736,938.9796717,507.4131606,604.5163279,1075.854097
778.7423519,-126.5624882,0.276666667,3.973333333,935.3112273,938.482575,508.1611383,606.4715009,1076.753717
780.0900201,-126.1458765,0.233333333,4.076666667,934.8797115,939.15502,508.7390553,608.1000512,1077.604233
781.8229126,-125.5361393,0.35,4.073333333,935.2765432,939.8837267,509.9053089,610.0169464,1078.894787
784.1414305,-124.7411326,0.39,4.166666667,936.8966735,940.7030428,511.719509,612.2565906,1080.556441
786.2035197,-123.7837176,0.323333333,4.556666667,936.9904942,941.0610987,513.4228578,614.117682,1082.027816
786.3805041,-122.7596052,0.243333333,4.913333333,935.7178667,941.401564,514.4971918,615.2945438,1083.160145
787.3255135,-122.0005084,-0.316666667,5.41,935.0652887,941.3689296,514.1858469,615.8954434,1084.063918
787.8723572,-120.8591166,-0.856666667,5.563333333,935.740889,940.9928664,514.4777611,616.9261997,1084.730914
788.5028216,-120.3295629,-0.856666667,4.823333333,939.4798533,942.1465322,515.4639433,618.4904619,1086.247372
788.9459149,-120.0108667,-0.743333333,3.99,942.062831,942.98239,516.8398489,620.8724155,1087.215566
790.082185,-119.0907939,-0.183333333,3.893333333,944.5754991,945.318197,519.0175208,623.5847601,1088.545366
790.6584064,-117.8793122,0.263333333,4.173333333,947.0394277,948.2883426,520.6567508,625.6325692,1090.205849
792.0119536,-116.3652371,0.446666667,4.786666667,945.5506307,948.8300338,521.8913344,627.2939898,1091.810814
793.626694,-115.2149301,0.393333333,5.98,943.0225286,948.5393028,523.6441963,628.9839249,1093.243412
794.3356768,-114.0628727,0.416666667,5.943333333,946.5860758,950.6238599,525.5757752,630.9554576,1094.941376
794.5094819,-112.7592529,0.726666667,5.916666667,947.810031,952.1372693,527.709373,633.1798366,1096.659355
796.0184003,-111.7180602,0.88,6.566666667,946.0398456,952.2617491,529.4978465,634.8439446,1098.253752
796.1300464,-110.3681255,0.53,8.326666667,942.9422353,952.5394391,530.2973178,635.7842267,1099.321605
796.7106854,-108.9089393,0.333333333,8.983333333,943.4736472,952.5078116,530.7442274,636.4521241,1100.324918
796.3842735,-107.7515404,0.463333333,8.94,946.6841327,955.2605322,531.5502191,637.4570429,1102.098157
796.1300464,-106.3898597,0.193333333,8.573333333,948.0876286,955.2913011,532.6256735,637.9613933,1103.450249
795.8402063,-104.6853986,-0.273333333,7.88,948.7997361,955.3788222,533.3362708,638.6374141,1104.993187
797.074039,-104.0441147,-0.61,6.703333333,950.0294861,956.7735057,534.6631227,640.7374913,1106.275584
796.3216474,-102.9403661,-0.416666667,5.566666667,955.3859152,958.208782,536.4417168,643.401133,1107.643398
798.6130846,-101.0903852,-0.253333333,3.856666667,957.5145509,959.834278,538.0972045,646.5626187,1109.720798
798.7592412,-99.53121783,0.173333333,4.563333333,959.0328115,961.1306486,540.1926349,650.4338072,1111.604342
799.3721273,-98.30484596,0.403333333,5.473333333,958.4429472,963.2072453,541.9058984,653.3401166,1113.370299
